자치구,동,합계,9세미만,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,위도,경도
서대문구,홍은1동,1058,15,21,33,45,76,157,235,257,219,37.5828653,126.9364458
서대문구,홍은2동,1225,15,28,63,55,118,211,267,276,192,37.574005,126.9133923
서대문구,남가좌1동,511,13,10,18,18,41,76,110,124,101,37.5784486,126.9237802
서대문구,남가좌2동,1188,23,26,47,60,105,181,277,282,187,37.5795042,126.9069208
서대문구,북가좌1동,686,11,25,30,33,72,91,135,172,117,37.581421,126.9111143
서대문구,북가좌2동,1613,22,32,65,66,152,244,384,397,251,37.5628962,126.9623598
서대문구,충현동,764,6,11,28,33,70,124,181,159,152,37.5609677,126.9542682
서대문구,북아현동,573,8,18,15,24,36,104,134,144,90,37.5594793,126.9435838
서대문구,신촌동,482,12,12,37,24,39,68,90,100,100,37.5717975,126.9325254
서대문구,연희동,1313,20,26,62,60,87,185,261,352,260,37.5651596,126.89847
마포구,용강동,594,8,17,19,24,70,85,132,143,96,37.5498977,126.9427769
마포구,대흥동,503,8,11,20,32,48,73,104,118,89,37.5496169,126.9476266
마포구,염리동,409,8,3,16,21,44,72,70,103,72,37.5468417,126.934558
마포구,신수동,703,12,18,29,34,75,86,135,192,122,37.5534897,126.9177304
