자치구,동,합계,지체,뇌병변,시각,청각,지적장애,자폐성,정신장애,지적+자폐+정신,위도,경도
강남구,압구정동,486,196,65,48,74,29,16,6,51,37.5231998,127.0486655
강남구,청담동,510,214,59,62,71,32,18,8,58,37.5021274,127.0641296
강남구,대치2동,585,218,85,62,71,38,31,14,83,37.4896011,127.0687685
강남구,개포2동,423,174,44,50,65,23,17,10,50,37.5280898,127.0355331
강남구,기타,1,0,0,0,0,0,1,0,1,37.5382351,127.1220949
송파구,풍납1동,670,273,77,71,119,43,17,18,78,37.5286251,127.1164568
송파구,풍납2동,828,360,98,71,123,56,22,25,103,37.4970185,127.143372
송파구,거여1동,625,281,56,72,89,54,13,13,80,37.493491,127.1468718
송파구,거여2동,1011,372,91,92,117,217,24,37,278,37.4959357,127.1498994
송파구,마천1동,1229,555,122,117,180,83,32,41,156,37.4968796,127.1485105
송파구,마천2동,1229,563,113,129,175,83,14,53,150,37.5109334,127.1238455
송파구,방이1동,438,188,38,47,61,34,14,11,59,37.5145158,127.1144024
송파구,방이2동,770,357,88,80,95,41,12,32,85,37.5154331,127.1343724
송파구,오륜동,293,121,37,26,39,18,13,7,38,37.5029895,127.1278734
송파구,오금동,1427,582,174,153,179,106,66,35,207,37.5058778,127.1096251
송파구,송파1동,695,295,87,92,83,38,16,27,81,37.5022674,127.1166805
송파구,송파2동,523,233,51,51,51,45,22,20,87,37.503517,127.1035697
송파구,석촌동,1019,448,105,99,143,71,23,41,135,37.5027949,127.0925158
송파구,삼전동,935,405,111,100,121,45,20,44,109,37.4954903,127.1217072
송파구,가락본동,767,345,80,79,91,42,25,21,88,37.4964619,127.1055147
송파구,가락1동,532,225,63,49,59,35,33,10,78,37.498712,127.1266796
송파구,가락2동,929,396,93,108,122,70,23,26,119,37.490047,127.1241801
송파구,문정1동,584,245,65,50,71,63,21,16,100,37.4898248,127.1108474
송파구,문정2동,519,225,62,46,77,26,21,7,54,37.5061273,127.0842945
송파구,잠실본동,800,345,86,91,108,40,14,36,90,37.5200285,127.1084342
송파구,잠실4동,437,180,53,42,51,30,24,11,65,37.5179042,127.1007366
송파구,잠실6동,371,136,49,45,58,22,17,10,49,37.5087379,127.0770452
송파구,잠실7동,211,90,32,16,27,10,6,4,20,37.5156676,127.0856413
송파구,잠실2동,569,235,70,64,82,33,28,7,68,37.5071834,127.0941266
송파구,잠실3동,691,283,78,70,96,51,24,16,91,37.4773867,127.1285282
송파구,장지동,1343,555,161,120,176,126,71,45,242,37.4811919,127.1441343
송파구,위례동,841,349,79,89,123,63,40,18,121,37.5626796,127.1742333
강동구,강일동,1700,745,214,175,230,124,43,42,209,37.5511064,127.1646653
강동구,상일동,926,406,112,94,117,74,27,19,120,37.5497341,127.1459813
강동구,명일1동,886,377,84,95,127,79,19,28,126,37.5463186,127.1512869
강동구,명일2동,450,177,41,49,68,38,15,13,66,37.558983,127.1489257
강동구,고덕1동,718,290,89,77,79,65,32,19,116,37.5604551,127.1643122
강동구,고덕2동,811,323,77,80,82,149,21,33,203,37.5517335,127.1272331
강동구,암사2동,514,226,61,66,67,33,9,13,55,37.5552053,127.1382039
강동구,암사3동,560,251,59,48,65,57,22,12,91,37.5450685,127.1367043
강동구,천호1동,1441,615,167,150,190,103,39,67,209,37.539763,127.1297892
강동구,천호3동,1314,595,145,142,181,82,14,59,155,37.530375,127.1223451
강동구,성내1동,662,276,87,72,98,32,21,12,65,37.5323199,127.1294284
강동구,성내2동,1053,460,106,109,160,58,23,46,127,37.5259868,127.1329002
강동구,성내3동,886,404,89,89,115,59,24,32,115,37.5234321,127.1366779
강동구,둔촌1동,3,3,0,0,0,0,0,0,0,37.53332,127.1419272
강동구,둔촌2동,971,442,105,86,126,77,21,29,127,37.5514287,127.1325655
강동구,암사1동,1682,722,176,195,216,127,35,75,237,37.543462,127.1231788
강동구,천호2동,1735,767,179,191,251,102,27,66,195,37.5392074,127.1461206
강동구,길동,1995,878,210,212,279,128,34,73,235,37.53889368,127.1435743
