시설명,시설코드,시설종류명(시설유형),시설종류상세명,시설주소,위도,경도
시각장애인주간보호센터,C2111,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 중구 퇴계로20길 41-11남산쉼터 1층,37.5709309,127.0302499
동대문구수어통역센터,C2112,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 동대문구 청계천로 521다사랑행복센터 (용두동),37.5568445,126.8156863
샬롬의 집,C2135,(장애인) 장애유형별거주시설,장애인거주시설,서울특별시 강서구 방화대로7가길 11,37.6503566,127.0220359
디딤돌공동생활가정,C2183,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 도봉구 우이천로 446-11501호(쌍문동 해밀하우스),37.4963777,127.0319107
역삼주간보호센터,C2194,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강남구 테헤란로8길 36강남문화원 2층,37.5201472,127.0377599
신망애공동생활가정,C2197,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강남구 도산대로50길 33-3401호 (논현동),37.5219251,127.0419793
서로함께공동생활가정,C2198,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강남구 선릉로146길 27-4204호 (청담동),37.6154419,126.9143768
똘레랑스,C2199,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 은평구 연서로21길 31-0,37.5896105,127.0002679
마로니에공동생활가정,C2201,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 종로구 혜화로12길 20-10101호,37.5640016,126.9889272
영락주간보호센터,C2204,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 중구 수표로 33영락교회 교육관 1층,37.5454363,127.0203834
성모주간보호센터,C2207,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 성동구 독서당로44길 25.,37.6543048,127.0131593
지앤지주간보호센터,C2223,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 도봉구 삼양로 574-442층,37.5830838,127.0731912
동문장애인복지관,C2225,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 동대문구 장안벚꽃로 7길 5　,37.658101,127.036278
성민그룹홈,C2226,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 도봉구 우이천로47길 10601호 (쌍문동),37.5574254,127.0129108
