시설명,시설코드,시설종류명(시설유형),시설종류상세명,자치구,위도,경도
아이비장애인단기보호시설,C1144,(장애인) 장애인단기거주시설,장애인거주시설,강동구,37.5354581,127.1373993
파란마음복지센터,C1147,(장애인) 장애인보호작업장,장애인직업재활시설,강동구,37.488767,126.9412352
함께사는세상,C1172,(장애인) 장애인보호작업장,장애인직업재활시설,관악구,37.5653825,126.9151468
한벗둥지,C1173,(장애인) 장애인단기거주시설,장애인거주시설,마포구,37.6496931,127.0802905
사랑샘단기보호소,C1193,(장애인) 장애인단기거주시설,장애인거주시설,노원구,37.5226416,126.8732479
하은장애인주간보호시설,C1199,(장애인) 장애인주간보호시설,장애인지역사회재활시설,양천구,37.4594062,126.9009523
기쁨이 싹트는 나무,C1208,(장애인) 장애인공동생활가정,장애인거주시설,금천구,37.502725,126.8605614
참좋은집 장애인공동생활가정,C1210,(장애인) 장애인공동생활가정,장애인거주시설,구로구,37.5012208,126.8541933
신나는 집 장애인공동생활가정,C1211,(장애인) 장애인공동생활가정,장애인거주시설,구로구,37.5543862,127.0112822
제4샬롬장애인공동생활가정,C1212,(장애인) 장애인공동생활가정,장애인거주시설,중구,37.4938744,126.8331524
예은장애인주간보호시설,C1213,(장애인) 장애인주간보호시설,장애인지역사회재활시설,구로구,37.521972,126.8770195
예은장애인공동생활가정,C1214,(장애인) 장애인공동생활가정,장애인거주시설,양천구,37.5333014,126.8667153
다은장애인공동생활가정,C1215,(장애인) 장애인공동생활가정,장애인거주시설,양천구,37.5303308,127.1247509
강동단기보호시설,C1221,(장애인) 장애인단기거주시설,장애인거주시설,강동구,37.655541,127.0694807
성민장애인주간보호소,C1230,(장애인) 장애인주간보호시설,장애인지역사회재활시설,노원구,37.4996111,126.8432355
라온채,C1231,(장애인) 장애인단기거주시설,장애인거주시설,구로구,37.6041995,127.036822
해피워크,C1245,(장애인) 장애인보호작업장,장애인직업재활시설,성북구,37.5390134,127.1466761
아이티어빌리티센터,C1255,(장애인) 장애인보호작업장,장애인직업재활시설,강동구,37.623836,126.9188121
기원주간보호센터,C1257,(장애인) 장애인주간보호시설,장애인지역사회재활시설,은평구,37.6005993,126.9157454
한마음 주간보호센터,C1274,(장애인) 장애인주간보호시설,장애인지역사회재활시설,은평구,37.5718624,127.0503069
하늘꿈터,C1304,(장애인) 장애인단기거주시설,장애인거주시설,동대문구,37.5204524,126.9910848
용산구수어통역센터,C1307,(장애인) 수어통역센터,장애인지역사회재활시설,용산구,37.5184415,126.9157566
시립영등포장애인복지관,C1309,(장애인) 장애인복지관,장애인지역사회재활시설,영등포구,37.6189132,127.080284
다운주간보호센터,C1316,(장애인) 장애인주간보호시설,장애인지역사회재활시설,노원구,37.5101564,126.8971614
모랫말꿈터,C1366,(장애인) 장애인주간보호시설,장애인지역사회재활시설,영등포구,37.5542721,127.1365361
강동그린나래복지센터,C1372,(장애인) 장애인보호작업장,장애인직업재활시설,강동구,37.1794647,127.4683886
새생명의집,C1392,(장애인) 중증장애인거주시설,장애인거주시설,이천시,37.5091633,126.9079088
성프란치스꼬민들레의집,C1398,(장애인) 장애인공동생활가정,장애인거주시설,영등포구,37.4807455,126.8902299
햇살터(성프란치스꼬),C1401,(장애인) 장애인주간보호시설,장애인지역사회재활시설,구로구,37.5139327,127.1192906
한마음2호공동생활가정,C1413,(장애인) 장애인공동생활가정,장애인거주시설,송파구,37.4501637,126.9027365
금천단기보호센터,C1416,(장애인) 장애인단기거주시설,장애인거주시설,금천구,37.6299174,127.0604597
노원1장애인주간보호센터,C1422,(장애인) 장애인주간보호시설,장애인지역사회재활시설,노원구,37.6379195,127.0202728
다사랑공동생활가정,C1423,(장애인) 장애인공동생활가정,장애인거주시설,강북구,37.5562617,126.8651068
다향공동생활가정,C1425,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.4824743,126.9346872
나자로의집보호작업장,C1427,(장애인) 장애인보호작업장,장애인직업재활시설,관악구,37.6795501,127.0522368
북부(종합사회복지관)장애인주간보호센터,C1430,(장애인) 장애인주간보호시설,장애인지역사회재활시설,노원구,37.4830195,126.9411664
실로암장애인근로사업장,C1439,(장애인) 장애인근로사업장,장애인직업재활시설,관악구,37.3164594,127.3492521
성분도보호작업장,C1448,(장애인) 장애인보호작업장,장애인직업재활시설,광주시,37.643166,127.0698473
중계1호,C1449,(장애인) 장애인공동생활가정,장애인거주시설,노원구,37.643166,127.0698473
중계2호,C1450,(장애인) 장애인공동생활가정,장애인거주시설,노원구,37.6678457,127.0783464
상계(종합사회복지관)장애인주간보호센터,C1451,(장애인) 장애인주간보호시설,장애인지역사회재활시설,노원구,37.6464877,127.0691703
평화장애인주간활동센터,C1452,(장애인) 장애인주간보호시설,장애인지역사회재활시설,노원구,37.4978753,126.9078394
영등포구주간보호센터,C1457,(장애인) 장애인주간보호시설,장애인지역사회재활시설,영등포구,37.4319835,127.1773787
에스알씨(SRC)직업재활센터,C1461,(장애인) 장애인보호작업장,장애인직업재활시설,성남시,37.5996604,126.9110964
임마누엘신사공동체,C1469,(장애인) 장애인공동생활가정,장애인거주시설,은평구,37.6013159,126.9173431
임마누엘역촌공동체,C1470,(장애인) 장애인공동생활가정,장애인거주시설,은평구,37.4936667,126.9187979
서울남부주간보호센터,C1471,(장애인) 장애인주간보호시설,장애인지역사회재활시설,동작구,37.510379,126.9132061
남부장애인공동생활가정1호,C1478,(장애인) 장애인공동생활가정,장애인거주시설,영등포구,37.5134509,126.9065953
남부장애인공동생활가정2호,C1479,(장애인) 장애인공동생활가정,장애인거주시설,영등포구,37.5190384,126.8402161
한빛장애인주간보호센터,C1481,(장애인) 장애인주간보호시설,장애인지역사회재활시설,양천구,37.4487019,126.9045503
관음의 집,C1483,(장애인) 장애인공동생활가정,장애인거주시설,금천구,37.4487019,126.9045503
지장의 집,C1485,(장애인) 장애인공동생활가정,장애인거주시설,금천구,37.6596708,127.0677031
노원시각장애인주간보호센터,C1495,(장애인) 장애인주간보호시설,장애인지역사회재활시설,노원구,37.6041626,127.096064
원광장애인주간보호시설,C1496,(장애인) 장애인주간보호시설,장애인지역사회재활시설,중랑구,37.4936667,126.9187979
보라매주간보호센터,C1498,(장애인) 장애인주간보호시설,장애인지역사회재활시설,동작구,37.6051391,126.9075414
서부장애인복지관주간보호센터,C1500,(장애인) 장애인주간보호시설,장애인지역사회재활시설,은평구,37.5509,127.0974583
정립회관주간보호센터,C1501,(장애인) 장애인주간보호시설,장애인지역사회재활시설,광진구,37.4947999,127.1156724
강서구수어통역센터,C1503,(장애인) 수어통역센터,장애인지역사회재활시설,강서구,37.4917392,126.8842933
구로구수어통역센터,C1504,(장애인) 수어통역센터,장애인지역사회재활시설,구로구,37.4992164,127.0949926
삼전주간보호시설,C1507,(장애인) 장애인주간보호시설,장애인지역사회재활시설,송파구,37.4961386,126.886847
브니엘의 집,C1510,(장애인) 장애유형별거주시설,장애인거주시설,구로구,37.6689522,127.0811223
이수경하우스,C1517,(장애인) 장애인공동생활가정,장애인거주시설,노원구,37.5247175,127.1175084
송파시각장애인축구장,C1520,(장애인) 장애인체육시설,장애인지역사회재활시설,송파구,37.4964245,127.1003181
송파구장애인운전교육원,C1521,(장애인) 장애인수련시설,장애인지역사회재활시설,송파구,37.4612487,126.9119316
임마누엘시흥공동체,C1536,(장애인) 장애인공동생활가정,장애인거주시설,금천구,37.4576856,126.9010912
임마누엘독산공동체,C1537,(장애인) 장애인공동생활가정,장애인거주시설,금천구,37.5237321,126.8444838
임마누엘신월공동체,C1538,(장애인) 장애인공동생활가정,장애인거주시설,양천구,37.5245492,126.8539712
임마누엘신정공동체,C1539,(장애인) 장애인공동생활가정,장애인거주시설,양천구,37.4990996,126.8448736
임마누엘개봉공동체,C1540,(장애인) 장애인공동생활가정,장애인거주시설,구로구,37.4999984,126.8300706
임마누엘구로공동체,C1541,(장애인) 장애인공동생활가정,장애인거주시설,구로구,37.5355161,126.8591405
임마누엘화곡1공동체,C1543,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5339959,126.8491832
임마누엘화곡공동체,C1544,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5554135,126.861558
임마누엘등촌1공동체,C1545,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5691778,126.8489398
기쁜우리복지관부설주간보호시설,C1546,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강서구,37.5036111,127.0369444
충현복지관,C1549,(장애인) 장애인복지관,장애인지역사회재활시설,강남구,37.4940068,127.0777343
해마을주간보호센터,C1556,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강남구,37.5792019,127.0867641
중랑구수어통역센터,C1561,(장애인) 수어통역센터,장애인지역사회재활시설,중랑구,37.470327,127.1193059
성모자애 엠마우스공동생활가정 1,C1564,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.470327,127.1193059
성모자애엠마우스공동생활가정3호,C1566,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.470327,127.1193059
성모자애공동생활가정,C1567,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.470327,127.1193059
성모자애주간보호시설,C1568,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강남구,37.470327,127.1193059
성모자애제2주간보호센터,C1569,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강남구,37.470327,127.1193059
성모자애보호작업장,C1570,(장애인) 장애인보호작업장,장애인직업재활시설,강남구,37.4850282,126.9694139
사랑손주간보호센터,C1572,(장애인) 장애인주간보호시설,장애인지역사회재활시설,동작구,37.5372157,126.8821474
서울특별시립장애인생산품판매시설,C1582,(장애인) 장애인생산품판매시설,장애인생산품판매시설,양천구,37.5119018,126.9324477
동작구립장애인보호작업장,C1583,(장애인) 장애인보호작업장,장애인직업재활시설,동작구,37.5704464,127.033811
성동주간보호센터,C1588,(장애인) 장애인주간보호시설,장애인지역사회재활시설,성동구,37.5529222,127.0185414
성모보호작업장,C1589,(장애인) 장애인보호작업장,장애인직업재활시설,성동구,37.5704464,127.033811
성동보호작업장,C1590,(장애인) 장애인보호작업장,장애인직업재활시설,성동구,37.5529157,127.0187327
성동장애인복지관공동생활가정(믿음의집),C1591,(장애인) 장애인공동생활가정,장애인거주시설,성동구,37.5529157,127.0187327
성동장애인복지관공동생활가정(소망의집),C1592,(장애인) 장애인공동생활가정,장애인거주시설,성동구,37.5529157,127.0187327
성동장애인복지관공동생활가정(사랑의집),C1593,(장애인) 장애인공동생활가정,장애인거주시설,성동구,37.552251,127.0211812
성동장애인복지관 공동생활가정(기쁨의 집),C1594,(장애인) 장애인공동생활가정,장애인거주시설,성동구,37.5700494,127.0809169
광진장애인보호작업장,C1607,(장애인) 장애인보호작업장,장애인직업재활시설,광진구,37.5842814,126.9070315
은평구수어통역센터,C1616,(장애인) 수어통역센터,장애인지역사회재활시설,은평구,37.5509,127.0974583
정립장애인보호작업장,C1620,(장애인) 장애인보호작업장,장애인직업재활시설,광진구,37.549987,127.0972229
정립전자,C1621,(장애인) 장애인근로사업장,장애인직업재활시설,광진구,37.4961857,126.9268403
보라매그룹홈,C1645,(장애인) 장애인공동생활가정,장애인거주시설,동작구,37.68537,127.0440835
자운그룹홈,C1653,(장애인) 장애인공동생활가정,장애인거주시설,도봉구,37.4745206,126.9842397
까리따스장애인주간보호센터,C1662,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서초구,37.4856837,126.9873598
사랑의일터,C1675,(장애인) 장애인보호작업장,장애인직업재활시설,서초구,37.5406968,126.8419911
교남공동생활가정4호,C1681,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5413329,126.842538
교남공동생활가정1호,C1684,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.4920242,126.8206209
구로구립장애인보호작업장,C1685,(장애인) 장애인보호작업장,장애인직업재활시설,구로구,37.644436,127.0733938
동천재활체육시설,C1686,(장애인) 장애인체육시설,장애인지역사회재활시설,노원구,37.5417749,126.8481165
교남공동생활가정6호,C1687,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5436685,126.8428277
교남공동생활가정5호,C1688,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.4984991,127.0212456
서초구수어통역센터,C1689,(장애인) 수어통역센터,장애인지역사회재활시설,서초구,37.4932342,126.9197115
