자치구,동,계,위도,경도
도봉구,쌍문1동,390,37.6579969,127.0388217
도봉구,쌍문2동,347,37.6488868,127.027851
도봉구,쌍문3동,281,37.6564409,127.0284897
도봉구,쌍문4동,250,37.6641352,127.0406833
도봉구,방학1동,538,37.6683016,127.0350997
도봉구,방학2동,462,37.6591356,127.0279067
도봉구,방학3동,374,37.6483312,127.0437665
도봉구,창1동,360,37.6412489,127.0354345
도봉구,창2동,465,37.6379994,127.0428778
도봉구,창3동,284,37.6521919,127.0515706
도봉구,창4동,389,37.6519147,127.0390998
도봉구,창5동,365,37.6786055,127.0433486
도봉구,도봉1동,580,37.6695786,127.0464596
도봉구,도봉2동,522,37.6209907,127.0677355
노원구,월계1동,362,37.6324443,127.0507382
노원구,월계2동,1160,37.620919,127.0692367
노원구,월계3동,897,37.6211412,127.0832634
노원구,공릉2동,487,37.6405557,127.0725689
노원구,하계1동,1183,37.6320006,127.0679316
노원구,하계2동,439,37.6514398,127.0831273
노원구,중계본동,349,37.6525543,127.077485
노원구,중계1동,283,37.6587195,127.0779568
노원구,중계4동,732,37.6796616,127.0549865
노원구,상계1동,773,37.6587754,127.0684857
노원구,상계2동,373,37.6628859,127.0693465
노원구,상계5동,475,37.6666901,127.0515152
노원구,상계8동,263,37.6644966,127.063792
노원구,상계9동,276,37.6612189,127.0601815
노원구,상계10동,219,37.6637749,127.0753459
노원구,상계3.4동,606,37.6530259,127.0581539
노원구,상계6.7동,501,37.6406105,127.0651536
노원구,중계2.3동,1739,37.6248346,127.0737922
노원구,공릉1동,957,37.6190488,126.9283793
은평구,녹번동,547,37.6103068,126.9319455
은평구,불광1동,597,37.623527,126.9167796
은평구,갈현1동,377,37.6185555,126.9157518
은평구,갈현2동,465,37.6117223,126.9103085
은평구,구산동,1305,37.6141112,126.9208904
은평구,대조동,436,37.6006409,126.9267232
은평구,응암1동,441,37.5945306,126.9231128
은평구,응암2동,351,37.598002,126.9121697
은평구,신사1동,454,37.5918918,126.9124479
은평구,신사2동,349,37.5849961,126.907314
은평구,증산동,257,37.5840042,126.8955434
은평구,수색동,209,37.6413466,126.9421897
은평구,진관동,781,37.6215274,126.9276956
은평구,불광2동,515,37.5922528,126.9157525
은평구,응암3동,465,37.6044517,126.9169535
은평구,역촌동,835,37.5782039,126.9386097
서대문구,천연동,299,37.5877538,126.9451388
서대문구,홍제1동,322,37.5939752,126.9495272
서대문구,홍제3동,272,37.5859211,126.9491105
서대문구,홍제2동,200,37.5931972,126.9438888
서대문구,홍은1동,351,37.5828653,126.9364458
서대문구,홍은2동,495,37.574005,126.9133923
서대문구,남가좌1동,179,37.5784486,126.9237802
서대문구,남가좌2동,444,37.5795042,126.9069208
서대문구,북가좌1동,251,37.581421,126.9111143
서대문구,북가좌2동,591,37.5628962,126.9623598
서대문구,충현동,253,37.5609677,126.9542682
서대문구,북아현동,199,37.5594793,126.9435838
서대문구,신촌동,195,37.5717975,126.9325254
서대문구,연희동,476,37.5651596,126.89847
마포구,용강동,201,37.5498977,126.9427769
마포구,대흥동,175,37.5496169,126.9476266
마포구,염리동,150,37.5468417,126.934558
마포구,신수동,235,37.5534897,126.9177304
마포구,서교동,220,37.5463089,126.9101219
마포구,합정동,183,37.5551181,126.9055326
마포구,망원1동,300,37.5602564,126.9022268
마포구,망원2동,261,37.5644783,126.9220027
마포구,연남동,184,37.5632282,126.9078651
마포구,성산1동,239,37.5657426,126.9033058
마포구,성산2동,951,37.5781711,126.894616
마포구,상암동,512,37.5376491,126.9501677
마포구,도화동,299,37.5480085,126.9324192
마포구,서강동,248,37.5468697,126.9521717
마포구,공덕동,500,37.5541171,126.9569379
마포구,아현동,247,37.5169508,126.8665644
양천구,목1동,258,37.5460906,126.8717032
양천구,목2동,377,37.5448407,126.8643419
양천구,목3동,341,37.5323423,126.8683419
양천구,목4동,302,37.5329255,126.8313455
양천구,신월1동,456,37.5249267,126.8445674
양천구,신월2동,345,37.5335914,126.8290407
양천구,신월3동,325,37.519981,126.8365553
양천구,신월4동,308,37.5396466,126.8273457
양천구,신월5동,260,37.5160668,126.8436787
양천구,신월6동,144,37.5218429,126.8346794
양천구,신월7동,378,37.5184827,126.8542326
양천구,신정1동,182,37.5191779,126.870676
양천구,신정2동,307,37.5150671,126.8548167
양천구,신정3동,870,37.5169831,126.8643707
양천구,신정6동,169,37.5143723,126.8596492
양천구,신정7동,527,37.5350651,126.8785078
양천구,목5동,245,37.5233712,126.8586771
양천구,신정4동,577,37.5464519,126.8623147
강서구,염창동,361,37.5558122,126.8589261
강서구,등촌1동,258,37.5425909,126.8624812
강서구,등촌2동,240,37.5588666,126.8477051
강서구,등촌3동,2089,37.5381184,126.8471024
강서구,화곡본동,544,37.5319531,126.8544552
강서구,화곡2동,270,37.5425905,126.8382335
강서구,화곡3동,302,37.5330091,126.8632873
강서구,화곡4동,346,37.5517566,126.8500661
강서구,화곡6동,377,37.5326759,126.8485388
강서구,화곡8동,366,37.5691433,126.8403436
강서구,가양1동,316,37.5672827,126.8510926
강서구,가양2동,1470,37.5610056,126.8604808
강서구,가양3동,801,37.5530061,126.8333727
강서구,발산1동,595,37.558949,126.8103748
강서구,공항동,390,37.5714755,126.8122083
강서구,방화1동,669,37.566671,126.8066809
강서구,방화2동,700,37.5785856,126.8136239
강서구,방화3동,963,37.530398,126.8415945
강서구,화곡1동,690,37.5480629,126.841817
강서구,우장산동,434,37.4925043,126.8949615
구로구,신도림동,321,37.4929862,126.8757043
구로구,구로1동,184,37.4859324,126.8932857
구로구,구로3동,302,37.4855983,126.8866194
구로구,구로4동,429,37.5000966,126.8893137
구로구,구로5동,391,37.5003741,126.8627053
구로구,고척1동,369,37.5065122,126.8583166
구로구,고척2동,476,37.4907641,126.8564832
구로구,개봉2동,476,37.4859037,126.8537616
구로구,개봉3동,366,37.4967632,126.8450681
구로구,오류1동,390,37.4939023,126.8314305
구로구,수궁동,472,37.4823943,126.888251
구로구,가리봉동,204,37.4912925,126.8834535
구로구,구로2동,473,37.5021516,126.8471508
구로구,개봉1동,643,37.4887641,126.8395129
구로구,오류2동,808,37.481088,126.8250625
구로구,항동,269,37.4518527,126.9020358
금천구,가산동,258,37.4700734,126.8969528
